"Cap waktu","Nama Desa","Waktu Penangkapan","Jenis Alat Tangkap","Ikan yang Tertangkap","Waktu Sampling","Jumlah Hasil Tangkapan (Kg)",""
"2025/01/08 10:43:12 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Ketiga","75",""
"2025/01/08 10:44:36 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Pertama","50",""
"2025/01/08 10:45:59 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Kedua","50",""
"2025/01/08 10:46:30 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Ketiga","60",""
"2025/01/08 10:47:11 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Pertama","35",""
"2025/01/08 10:47:41 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Ketiga","45",""
"2025/01/08 10:49:40 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Kedua","40",""
"2025/01/08 10:50:26 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Pertama","145",""
"2025/01/08 10:50:50 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Kedua","150",""
"2025/01/08 10:51:18 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Ketiga","160",""
"2025/01/08 10:51:57 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Pertama","150",""
"2025/01/08 10:52:25 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Kedua","155",""
"2025/01/08 10:52:51 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Ketiga","160",""
"2025/01/08 10:53:21 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Putak","Sampling Pertama","2",""
"2025/01/08 10:53:43 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Pancing Tajur","Putak","Sampling Kedua","2",""
"2025/01/08 10:54:03 AM GMT+7","Tanjung Alai","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Putak","Sampling Ketiga","2",""
"2025/01/08 10:57:55 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Pertama","45",""
"2025/01/08 10:58:23 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Kedua","45",""
"2025/01/08 10:58:48 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Sepat","Sampling Ketiga","50",""
"2025/01/08 10:59:16 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Pertama","20",""
"2025/01/08 10:59:41 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Kedua","30",""
"2025/01/08 11:00:03 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Jaring","Betok","Sampling Ketiga","35",""
"2025/01/08 11:04:32 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Pertama","80",""
"2025/01/08 11:05:19 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Kedua","90",""
"2025/01/08 11:05:50 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Gabus","Sampling Ketiga","95",""
"2025/01/08 11:06:18 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Putak","Sampling Pertama","2",""
"2025/01/08 11:06:38 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Putak","Sampling Kedua","2",""
"2025/01/08 11:07:00 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Desember","Pancing Tajur","Putak","Sampling Ketiga","2",""
"2025/01/08 11:07:57 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Pertama","75",""
"2025/01/08 11:08:23 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Kedua","80",""
"2025/01/08 11:08:49 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Gabus","Sampling Ketiga","85",""
"2025/01/08 11:09:35 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Pertama","60",""
"2025/01/08 11:10:04 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Kedua","65",""
"2025/01/08 11:10:32 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Betok","Sampling Ketiga","70",""
"2025/01/08 11:11:13 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Pertama","75",""
"2025/01/08 11:11:44 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Kedua","80",""
"2025/01/08 11:12:10 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Sepat","Sampling Ketiga","85",""
"2025/01/08 11:12:46 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Pertama","35",""
"2025/01/08 11:13:51 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Kedua","40",""
"2025/01/08 11:14:14 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Ikan","Lele","Sampling Ketiga","45",""
"2025/01/08 11:15:33 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Belut","Belut","Sampling Pertama","45",""
"2025/01/08 11:15:55 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus","Bubu Belut","Belut","Sampling Kedua","55",""
"2025/01/08 11:16:21 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;Desember","Bubu Belut","Belut","Sampling Ketiga","65",""
"2025/01/08 11:17:08 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Pertama","35",""
"2025/01/08 11:17:50 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Kedua","45",""
"2025/01/08 11:18:14 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sepat","Sampling Ketiga","55",""
"2025/01/08 11:18:41 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Pertama","25",""
"2025/01/08 11:19:07 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Kedua","35",""
"2025/01/08 11:19:33 AM GMT+7","Awal Terusan","Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;Nopember;Desember","Pengilar","Sapil","Sampling Ketiga","40",""
